Kundennummer;Filialnummer;Filialname;Strasse;PLZ                      ;ORT
21477;50;V-Markt Georg Jos. Kaes GmbH  ;Justus-von-Liebig-Str. 5      ;86807;BUCHLOE

21477;51;HWM Georg Jos. Kaes GmbH      ;Kimmerle-Ring 4               ;89312;GÜNZBURG

21477;52;V-Markt Georg Jos. Kaes GmbH  ;Dillinger Str. 25             ;89415;LAUINGEN

21502;82213;REAL Lippstadt 8221.3         ;Bockenförder Str.181-183      ;59557;Lippstadt

21502;82305;REAL Nordwalde 8230.5         ;Wallgraben 12 - 14            ;48356;Nordwalde

21502;85016;REAL Dortmund - Aplerbeck 2   ;Schleefstr.15                 ;44287;Dortmund - Aplerbeck

21502;86006;REAL Bielefeld 1 8600.6       ;Schweriner Straße 4           ;33605;Bielefeld 1

21502;86013;REAL Castrop-Rauxel           ;Siemensstraße 10              ;44579;Castrop-Rauxel

21502;86037;REAL Gelsenkirchen - Bur      ;Emscher Straße 37             ;45891;Gelsenkirchen - Bur

21502;86044;REAL Iserlohn 8604.4          ;Raiffeisenstraße 5            ;58638;Iserlohn

21502;86051;REAL Jülich 8605.1            ;An der Leimkaul 1             ;52428;JÜLICH

21502;86082;REAL Menden 8608.2            ;Boesperder Weg 43             ;58708;MENDEN

21502;86099;Real Plettenberg 86099        ;Maiplatz                      ;58840;PLETTENBERG

21502;86129;REAL Dortmund-Eving 8612.9    ;Deutsche Str. 4               ;44339;DORTMUND-EVING

21502;86136;REAL Dortmund-Mengede 8613.6  ;Heimbrügge 5-7                ;44539;DORTMUND- MENGEDE

21502;86204;REAL Bochum-Langendreer 2     ;Hauptstraße 212               ;44892;Bochum-Langendreer 2

21502;86211;REAL Heiligenhaus 8621.1      ;Velberter Straße 38 - 44      ;42579;Heiligenhaus

21502;86228;REAL Bielefeld 2 8622.8       ;Teutoburger Straße 98         ;33607;Bielefeld 2

21502;86303;REAL Eschweiler 8630.3        ;Auerbachstr. 10               ;52249;Eschweiler

21502;86310;REAL Köln (Gremberg)          ;Gremberger Str. 200           ;51105;KÖLN (Gremberg)

21502;86334;REAL Köln                     ;Weißhausstr.20-30             ;50839;KÖLN (SÜLZ)

21502;86341;REAL Düren 2 8634.1           ;Am Ellernbusch 22             ;52355;DÜREN 2

21502;86358;REAL Erftstadt (Liblar)       ;Gustav-Heinemann Str.2        ;50374;Erftstadt (Liblar)

