Kundennummer;Filialnummer;Filialname;Strasse;PLZ                      ;ORT

21752;2220;Extra LAUF 2220               ;ROETHENBACHER STR 21          ;91207;LAUF

21752;2222;Extra KRONACH 2222            ;WEISSENBRUNNER STR. 20A       ;96317;KRONACH

21752;2226;Extra BAMBERG 2226            ;KIRSCHAECKERSTR. 11           ;96052;BAMBERG

21752;2228;Extra WEIDEN 2228             ;NEUSTAEDTER STR. 22           ;92637;WEIDEN

21752;2229;Extra NEUMARKT 2229           ;DREICHLINGER STR. 1           ;92318;NEUMARKT

21752;2231;Extra DINKELSBUEHL 2231       ;LUITPOLDSTR. 27               ;91550;DINKELSBUEHL

21752;2233;Extra HAMMELBURG 2233         ;ZIEGELHUETTE                  ;97762;HAMMELBURG

21752;2242;Extra POCKING 2242            ;PASSAUER STR. 56              ;94060;POCKING

21752;2244;Extra LANDAU 2244             ;VIEHMARKTSTRASSE 8            ;94405;LANDAU

21752;2245;Extra ALTOETTING 2245         ;BURGHAUSER STR. 72            ;84503;ALTOETTING

21752;2257;Extra NEUSTADT 2257           ;KARL-EIBL-STR. 50 A           ;91413;NEUSTADT

21752;2266;                              ;                              ;            ;

21752;2267;Extra PEGNITZ 2267            ;ALTE POSTSTR. 54              ;91257;PEGNITZ

21752;2268;Extra NEUOETTING 2268         ;NAGELSCHMIEDSTR. 6            ;84524;NEUOETTING

21752;2283;Extra ANSBACH 2283            ;RITTER-VON-LANG-ALLEE 7       ;91522;ANSBACH

21752;2287;Extra MICHELSTADT 2287        ;FRIEDRICH-EBERT-STR. 15 - 17  ;64720;MICHELSTADT

21752;2288;Extra Rosenheim 2288          ;Kufsteiner Str. 55            ;83022;ROSENHEIM

21753;1;extra Verbrauchermärkte       ;Am Teinkamp 7                 ;31157;SARSTEDT

21753;2601;Extra Vechta 2601             ;Sankt-Florian-Stasse4         ;49377;VECHTA

21753;2602;Extra VERDEN 2602             ;IM OHRT                       ;27283;VERDEN

21753;2603;Extra SOLTAU 2603             ;HAGEN 11-14                   ;29614;SOLTAU

21753;2604;Extra HANNOVER 2604           ;EMPELDER STR. 128             ;30455;HANNOVER

21753;2605;Extra STADTHAGEN 2605         ;JAHNSTR. 35                   ;31655;STADTHAGEN

21753;2606;Extra Neustadt                ;SIEMENSSTR. 2-4               ;31535;NEUSTADT

21753;2608;Extra Hemmingen 2608          ;Gutenbergstraße 7             ;30966;HEMMINGEN

21753;2609;Extra Höxter 2609             ;Schlesische Straße 1          ;37671;HÖXTER

21753;2610;Extra Hameln 2610             ;Fischbecker Landstraße 86     ;31787;HAMELN

21753;2613;Extra Hannover 2613           ;Spielhagenstraße 23 A         ;30171;HANNOVER

21753;2614;Extra Gronau 2614             ;Bethelner Landstraße 12       ;31028;GRONAU

21753;2615;Extra Drochtersen 2615        ;Drochterser Strasse 2-3       ;21706;DROCHTERSEN

21753;2620;Extra Hoya 2620               ;Bücker Straße 1               ;27318;HOYA

21753;2622;Extra EMSDETTEN 2622          ;KATTHAGEN 6-8                 ;48282;EMSDETTEN

21753;2627;Extra Drochtersen 2627        ;Sietwender Straße 13 - 14     ;21706;DROCHTERSEN

21753;2629;Extra Löhne 2629              ;Lindenstrasse                 ;49393;LÖHNE

21753;2630;Extra Nahe 2630               ;Segeberger Straße             ;23866;NAHE

21753;2631;Extra ELZE 2631               ;SCHMIEDETORSTRASSE            ;31008;ELZE

21753;2635;Extra Northeim                ;Göttinger Str. 55             ;37154;NORTHEIM

21753;2637;Extra Hannover 2637           ;Dresdener Straße 3            ;30179;HANNOVER

21753;2638;Extra Hannover 2638           ;Schierholzstraße 63 a         ;30655;HANNOVER

21753;2643;Extra Braunschweig 2643       ;Elbestraße 21-23              ;38120;BRAUNSCHWEIG

21753;2645;Extra BIELEFELD 2645          ;BECKHAUSSTRASSE 64            ;33611;BIELEFELD

21753;2660;Extra STADE 2660              ;ALTLAENDER STR.13-15          ;21680;STADE

21753;2669;Extra NORTHEIM 2669           ;EINBECKER LANDSTR.22          ;37154;NORTHEIM

21753;2670;Extra HARSEFELD 2670          ;AM PASCHBERG 18               ;21698;HARSEFELD

21753;2671;Extra HAMBURG 2671            ;HARDAURING 34                 ;21147;HAMBURG

21753;2685;Extra Uslar 2685              ;Stiftstraße 2                 ;37170;USLAR

21753;2693;Extra NEU WULMSTORF 2693      ;BAHNHOFSTR. 33 - 37           ;21624;NEU WULMSTORF

21753;2695;Extra SARSTEDT 2695           ;MOORBERG 1                    ;31157;SARSTEDT

21753;2696;Extra Hamburg 2696            ;Wilhelm-Strauß-Weg 2          ;21109;HAMBURG

21753;2697;Extra HEMMOOR 2697            ;AM ZENTRUM 6-8                ;21745;HEMMOOR

21753;2698;Extra Hamburg-Jenfeld 2698    ;Schoeneberger Strasse 31-35   ;22045;HAMBURG

21753;2699;Extra SITTENSEN 2699          ;BAHNHOFSTR. 23                ;27419;SITTENSEN

21753;2700;Extra BREMERVOERDE 2700       ;INDUSTRIESTR. 8               ;27432;BREMERVOERDE

21753;2702;Extra Münster 2702            ;Warendorfer Strasse 189       ;48145;MÜNSTER

21753;2703;Extra Oldenburg 2703          ;Hauptstraße 89 - 95           ;26131;OLDENBURG

21753;2704;Extra MEPPEN 2704             ;LATHENER STR. 5               ;49716;MEPPEN

21753;2707;Extra STADE 2707              ;HADDORFER GRENZWEG2A          ;21682;STADE

21753;2710;Extra TELGTE 2710             ;ORKOTTEN 5                    ;48291;TELGTE

21753;2737;Extra CLAUSTHAL-ZELLERFELD 273;OSTEROEDER STR. 1             ;38678;CLAUSTHAL-ZELLERFELD

21753;2745;Extra SEHNDE 2745             ;PEINER STRASSE 45             ;31319;SEHNDE

21753;2747;Extra BRUCHHAUSEN-VILSEN 2747 ;BASSUMER STR. 1               ;27305;BRUCHHAUSEN-VILSEN

21753;2754;Extra Zetel 2754              ;Neuenburger Str. 14-16        ;26340;ZETEL

21753;2755;Extra BARSINGHAUSEN 2755      ;REIHEKAMP 12                  ;30890;BARSINGHAUSEN

21753;2757;Extra QUACKENBRUECK 2757      ;HASESTR. 3                    ;49610;QUACKENBRUECK

21753;2758;Extra Hannover 2758           ;Melanchthonstrasse 57         ;30185;HANNOVER

21753;2759;Extra HARSUM 2759             ;PEINER/CARL-ZEISS-ST          ;31177;HARSUM

21753;2760;Extra Göttingen 2760          ;Reinhäuser Landstrasse 177    ;37083;GÖTTINGEN

21753;2762;Extra Garrel 2762             ;Hauptstr. 96                  ;49681;GARREL

21753;2763;Extra LENGERICH 2763          ;WIELANDSTR. 24                ;49525;LENGERICH

21753;2764;Extra HESSISCH-OLDENDORF 2764 ;WELSEDERSTR. 46               ;31840;HESSISCH-OLDENDORF

21753;2765;Extra BRAUNSCHWEIG 2765       ;BERLINER PLATZ I D            ;38102;BRAUNSCHWEIG

21753;2766;Extra Hildesheim 2766         ;Davenstedter Str. 62          ;31134;HILDESHEIM

21753;2767;Extra DELMENHORST 2767        ;WEBERSTRASSE 4                ;27753;DELMENHORST

21753;2768;Extra BREMEN-VAHR 2768        ;BERLINER FREIHEIT 11          ;28327;BREMEN-VAHR

21753;2770;Extra EMSDETTEN 2770          ;GREVENER DAMM 210 C           ;48282;EMSDETTEN

21753;2771;Extra BAD SALZDETFURTH 2771   ;AHNEPAULE 2                   ;31162;BAD SALZDETFURTH

21753;2772;Extra BAD ZWISCHENAHN 2772    ;LANGENHOF                     ;26160;BAD ZWISCHENAHN

21753;2773;Extra WILHELMSHAVEN 2773      ;MUEHLENWEG 146                ;26384;WILHELMSHAVEN

21753;2777;Extra DUELMEN 2777            ;ELSA-BRANDTSTROEM 20          ;48249;DUELMEN

21753;2778;Extra CREMLINGEN 2778         ;IM MOORBUSCHE 2               ;38162;CREMLINGEN

21753;2779;Extra WERLTE 2779             ;SOEGELER STRASSE              ;49757;WERLTE

21753;2781;Extra VERDEN 2781             ;BLUMENWISCH 2                 ;27283;VERDEN

21753;2783;Extra BAD SEGEBERG 2783       ;BAHNHOFSTR. 7                 ;23795;BAD SEGEBERG

21753;2785;Extra NORDHORN 2785           ;FRIEDRICH-EBERT-STR2          ;48529;NORDHORN

21753;2786;Extra AURICH 2786             ;AM PFERDEMARKT 5              ;26603;AURICH

21753;2788;Extra Sittensen 2788          ;Stader Strasse 28             ;27419;SITTENSEN

21753;26488;Extra Alfeld 2648.8           ;Bahnhofstresse                ;31061;ALFELD

21754;1;extra Verbrauchermärkte       ;Am Teinkamp 7                 ;31157;SARSTEDT

21754;2246;Extra DETTINGEN 2246          ;IM SCHMOELLBOGEN 19           ;72581;DETTINGEN

21754;2247;Extra Albstadt/Ebingen 2247   ;Kientenstraße 55              ;72458;ALBSTADT/EBINGEN

21754;2248;Extra TUTTLINGEN 2248         ;RUDOLF-DIESEL-STR.28          ;78532;TUTTLINGEN

21754;2251;Extra KOENGEN 2251            ;IMANUEL MAIER STR. 2          ;73257;KOENGEN

21754;2252;Extra METZINGEN 2252          ;REUTLINGER STR. 57-65         ;72555;METZINGEN

21754;2253;Extra MUENSINGEN 2253         ;LICHTENSTEINSTR. 28           ;72525;MUENSINGEN

21754;2254;Extra FELLBACH 2254           ;DAIMLERSTR. 18                ;70736;FELLBACH

21754;2255;Extra VAIHINGEN/ENZ 2255      ;KEHLSTR. 49                   ;71665;VAIHINGEN/ENZ

21754;2256;Extra ZELL 2256               ;GOEPPINGER STR. 7             ;73119;ZELL

21754;2258;Extra EBERSBACH/FILS 2258     ;HAUPTSTR. 83                  ;73061;EBERSBACH/FILS

21754;2259;Extra FILDERSTADT 2259        ;KARLSTR. 62                   ;70794;FILDERSTADT

21754;2260;Extra OSTFILDERN 2260         ;BONHOEFFER STR. 1             ;73760;OSTFILDERN

21754;2261;Extra PLOCHINGEN 2261         ;NECKARSTRASSE 3               ;73207;PLOCHINGEN

21754;2262;Extra Ettlingen 2262          ;Zehntwiesenstraße 47          ;76275;ETTLINGEN

21754;2264;Extra ALBSTADT 2264           ;IM WIESENGRUND 22             ;72461;ALBSTADT

21760;1;                              ;                              ;            ;

21760;6;famila -                      ;Alte Weide 7-13               ;24116;KIEL

21760;12;famila -                      ;Hohenrade 21- 27              ;24106;KIEL/WIK

21760;13;gesperrt s. 21770             ;Rendsburger Straße            ;24340;ECKERNFÖRDE

21760;14;famila -                      ;Grot-Steenbusch 35            ;24145;KIEL/NEU-MEIMERSDORF

21760;28;gesperrt s. 21770             ;Kreishafenstr. 4-6            ;24768;RENDSBURG I.

21760;30;gesperrt s. 21770             ;Adolfplatz Str. 9-11          ;29451;DANNENBERG

21760;35;gesperrt s. 21770             ;Friedrichstäter Str.          ;24768;RENDSBURG II.

21760;38;gesperrt s. 21770             ;Industrieweg 1                ;25980;WESTERLAND

21760;41;gesperrt s. 21770             ;Industriestr.41               ;24963;TARP

21760;60;gesperrt s. 21770             ;Kätnerskamp                   ;24220;FLINTBEK

21760;61;gesperrt s. 21770             ;Itzehoer Str.                 ;24589;NORTORFT

21760;62;famila -                      ;Preetzer Str. 298             ;24147;KIEL-ELMSCHENHAGEN

21760;63;gesperrt s. 21770             ;Höppnerweg  8                 ;23669;TIMMENDORFER STRAND

21760;66;famila -                      ;Schönkirchener Str. 8         ;24149;KIEL-DIETRICHSDORF

21760;67;gesperrt s. 21770             ;Waldstr. 2                    ;25746;WESSLN

21760;70;gesperrt s. 21770             ;Plöner Landstr. 80            ;23701;EUTIN

21760;71;gesperrt s. 21770             ;Industriestr. 3               ;24774;HEILIGENHAFEN

21760;72;gesperrt s. 21770             ;Posthofstr. 4                 ;24321;LÜTJENBURG

21760;73;gesperrt s. 21770             ;Rettiner Weg 77               ;23730;NEUSTADT /HOLSTEIN

21760;75;gesperrt s. 21770             ;Fritz-Tiedemann-Ring 40       ;25746;HEIDE

21760;77;famila -                      ;Altenholzer Str. 9-11         ;24161;ALTENHOLZ

21760;78;famila -                      ;Kurt-Schumacher-Platz 4       ;24109;KIEL-METTENHOF

21760;79;famila -                      ;Seekoppelweg 2                ;24113;KIEL-RUSSEE

21760;80;gesperrt s. 21770             ;Segeberger Str.               ;23617;STOCKELSDORF

21770;1;famila - Handelsmarkt         ;Alte Weide 7-13               ;24116;KIEL

21770;13;famila - Handelsmarkt         ;Rendsburger Str. 119          ;23430;ECKERNFÖRDE

21770;26;famila - Handelsmarkt         ;Hauptstr. 43                  ;24536;NEUMÜNSTER II.

21770;28;famila - Handelsmarkt         ;Kreishafenstr. 4-6            ;24768;RENDSBURG I.

21770;30;famila - Handelsmarkt         ;Adolfsplatz                   ;29451;DANNENBERG

21770;35;famila - Handelsmarkt         ;Friedrichstäter Str.          ;24768;RENDSBURG II.

21770;38;famila - Handelsmarkt         ;Industrieweg 1                ;25980;WESTERLAND

21770;41;famila - Handelsmarkt         ;Industriestr.                 ;24963;TARP

21770;60;famila - Handelsmarkt         ;Kätnerskamp                   ;24220;FLINTBEK

21770;61;famila - Handelsmarkt         ;Itzehoer Str.                 ;24589;NORTORFT

21770;63;famila - Handelsmarkt         ;Höppnerweg 8                  ;23669;TIMMENDORFER STRAND

21770;64;famila - Handelsmarkt         ;Haart 224                     ;24539;NEUMÜNSTER I.

21770;67;famila - Handelsmarkt         ;Waldstr.                      ;25746;WESSELN

21770;70;famila - Handelsmarkt         ;Plöner Landstr. 8-10          ;23701;EUTIN

21770;71;famila - Handelsmarkt         ;Industriestr. 3               ;23774;HEILIGENHAFEN

21770;72;famila - Handelsmarkt         ;Posthofstr. 4                 ;24321;LÜTJENBURG

21770;73;famila - Handelsmarkt         ;Rettiner Weg 77               ;23730;NEUSTADT IN HOLSTEIN

21770;75;famila - Handelsmarkt         ;Fritz- Thiedemann- Ring 40    ;25746;HEIDE

21770;80;famila - Handelsmarkt         ;Am Ravensbusch                ;23617;STOCKELSDORF

21771;1;famila Warenhaus              ;Alte Weide 7-13               ;24116;KIEL

21771;29;siehe 21772                   ;Grünhufer Bogen               ;18437;STRALSUND

21772;1;                              ;                              ;            ;

21772;20;famila Handelsmarkt           ;Am Mastweg 6                  ;18356;BARTH

21772;21;famila Handelsmarkt           ;Rudolf Diesel Str. 1a         ;17389;ANKLAM I.

21772;22;famila Handelsmarkt           ;Wedeler Str. 5                ;17438;WOLGAST

21772;23;famila Handelsmarkt           ;Nonnenseestr. 1               ;18528;BERGEN/RÜGEN

21772;24;famila Handelsmarkt           ;Am Schwarzen Weg 11           ;19348;PERLEBERG

21772;43;famila Handelsmarkt           ;Silostr. 2                    ;17389;ANKLAM II.

21772;44;famila Handelsmarkt           ;Fr.-Wilh.-Raiffeisen-Str. 12  ;17192;WAREN/MÜRITZ

21772;45;famila Handelsmarkt           ;Rostocker Landweg             ;18311;RIBNITZ-DAMGARTEN

21772;47;famila Handelsmarkt           ;Tarnower Chaussee/Nebelring   ;18246;BÜTZOW

21772;48;famila Handelsmarkt           ;Rostocker Str. 162            ;17166;TETEROW

21772;49;famila Handelsmarkt           ;Goldbergerstr.                ;18273;GÜSTROW I.

21772;96;famila Handelsmarkt           ;Heideweg 46                   ;18273;GÜSTROW II.

21772;97;famila Handelsmarkt           ;Am Langendorfer Berg 1        ;18442;STRALSUND

21773;1;famila Handelsmarkt           ;Alte Weide 7-13               ;24116;KIEL

21773;2;                              ;                              ;            ;

21773;15;famila Handelsmarkt           ;Nordring 4                    ;21244;BUCHHOLZ

21773;25;famila Handelsmarkt           ;Auf dem Rusch 4               ;27356;ROTENBURG/WÜMME

21773;27;famila -                      ;Lohstücker Weg                ;24576;BAD BRAMSTEDT

21773;31;famila Handelsmarkt           ;Kohlenbissener Grund          ;29633;MUNSTER

21773;32;famila Handelsmarkt           ;Nikolaus-Otto-Str. 2-4        ;22946;TRITTAU

21773;33;famila Handelsmarkt           ;Am Vogelsang 12               ;29640;SCHNEVERDINGEN

21773;34;famila Handelsmarkt           ;Lemkerstr. 20                 ;31582;NIENBURG

21773;36;famila Handelsmarkt           ;Pascalstr.                    ;25451;QUICKBORN II.

21773;37;famila -                      ;Mecklenburger Landstr.        ;21481;LAUENBURG

21773;39;famila Handelsmarkt           ;Mollerung 11-13               ;23569;KÜCKNITZ

21773;40;famila Handelsmarkt           ;Stormarnstr. 33-41            ;22844;NORDERSTEDT

21773;42;famila Handelsmarkt           ;Großer Sand 96-106            ;25436;UETERSEN

21773;46;famila Handelsmarkt           ;Rudolf-Diesel-Ring 30         ;31535;NEUSTADT A. RBGE.

21773;50;famila Handelsmarkt           ;Löhnfeld 10                   ;21423;WINSEN/LUHE

21773;51;famila Handelsmarkt           ;Weserstrasse 1                ;27318;HOYA/WESER

21773;55;famila Handelsmarkt           ;Scharpers Kamp 5              ;31311;UETZE

21773;65;famila Handelsmarkt           ;Kornkamp 50                   ;22926;AHRENSBURG

21773;68;famila Handelsmarkt           ;Lindenstr. 15                 ;21244;BUCHHOLZ/NORDHEIDE

21773;69;famila Handelsmarkt           ;Eichenlohweg 17               ;22309;HAMBURG-STEILSHOOP

21773;74;famila Handelsmarkt           ;Feldbehnstr. 35               ;25451;QUICKBORN I.

21773;76;famila Handelsmarkt           ;Kisdorfer Weg 11              ;24568;KALTENKIRCHEN

21774;1;famila Warenhaus              ;Alte Weide 7-13               ;24116;KIEL

21774;2;                              ;                              ;            ;

21774;54;famila Handelsmarkt           ;Westring 6                    ;25421;PINNEBERG

21774;55;famila Warenhaus              ;Ziegelkampstr. 30             ;31582;NIENBURG

21774;56;famila Warenhaus              ;Wedemarkstr. 96               ;30900;WEDEMARK/MELLENDORF

21774;57;famila Warenhaus              ;Bornumer Str. 141             ;30453;HANNOVER

21774;58;famila Warenhaus              ;Grambeker Weg 101             ;23879;MÖLLN

21774;59;famila Warenhaus              ;Braunschweiger str. 34        ;38518;GIFHORN

21774;81;famila Warenhaus              ;Wesloer Landstr. 50-70        ;23566;LÜBECK

21774;82;famila Warenhaus              ;Schwartauer Landstr. 4        ;23554;LÜBECK

21774;83;famila Warenhaus              ;Sereetzer Feld 1              ;23611;SEREETZ

21774;84;famila Warenhaus              ;Am Vossberg 1                 ;23758;OLDENBURG I.H.

21774;85;famila Warenhaus              ;Spandauer Str. 31 126         ;21502;GEESTHACHT

21774;86;famila Warenhaus              ;Am Redder 2                   ;22941;BARGTEHEIDE

21774;87;famila Warenhaus              ;Eutiner Str. 45               ;23795;BAD SEGEBERG

21774;88;famila Warenhaus              ;Lily-Braun-Str. 24-28         ;23843;BAD OLDESLOE

21774;89;famila Warenhaus              ;Gablonzer Str. 1-5            ;24610;TRAPPENKAMP

21774;90;famila Warenhaus              ;Gutenbergstr. 29              ;21465;REINBEK

21774;91;famila Warenhaus              ;Industriestr. 13              ;25917;LECK

21774;92;famila Warenhaus              ;Flensburger Str. 3            ;25421;PINNEBERG

21774;93;famila Warenhaus              ;Hans-Böckler-Str. 126         ;25337;ELMSHORN

21774;94;famila Warenhaus              ;Vor dem Delftor 2             ;25524;ITZEHOE

21774;95;famila Warenhaus              ;Auf den Blöcken 7             ;21337;LÜNEBURG

21774;96;unter 21772 gelistet          ;                              ;            ;

21795;1;famila Center                 ;WORMSER STR. 109              ;67227;FRANKENTHAL

21795;2;                              ;                              ;            ;

21795;3;famila Center                 ;Hertzstr. 1                   ;69126;HEIDELBERG

21795;4;famila Center                 ;WILHELM-BECKER-STR. 15        ;75179;PFORZHEIM

21795;5;famila Mult Zentrum           ;Berliner Platz 1              ;69469;WEINHEIM

21795;6;famila Center                 ;Thomas-Howie-Str.1            ;76684;OESTRINGEN

21795;7;famila Bad Schönborn          ;Südring 1                     ;76669;BAD SCHOENBORN

21795;8;famila Center                 ;GROSSFELDSTR. 2               ;79618;RHEINFELDEN

21795;9;famila Center                 ;BRUECKENSTR. 7                ;79761;WALDSHUT-TIENGEN

21795;10;famila Center                 ;SIGMARINGER STR. 154          ;72458;ALBSTADT

21795;11;famila Center                 ;SCHAFFHAUSER STR. 90          ;79713;BAD SAECKINGEN

21795;12;FAMILA HANDELSBETRIEBE        ;EISENBAHNSTR. 25.             ;75179;PFORZHEIM

21795;13;famila Center                 ;HOHWIESENWEG 2/2A             ;75175;PFORZHEIM

21795;14;famila Center                 ;Carl- Metz- Str. 7            ;76185;KARLSRUHE

21809;1;plaza Lübeck Buntekuh         ;Ziegelstr. 232                ;23556;LÜBECK

21809;2;plaza Kiel                    ;Winterbeker Weg 44            ;24114;KIEL

21809;3;plaza Büdelsdorf              ;Hollerstr. 78                 ;24782;BÜDELSDORF

21809;4;plaza Husum                   ;Andreas Clausen Str.          ;25813;HUSUM

21809;5;plaza Lübeck Marli            ;Kantstr. 3-17                 ;23566;LÜBECK

21809;6;plaza Schwerin                ;Am Margaretenhof 8            ;19057;SCHWERIN

21809;7;plaza Bad Oldesloe            ;Ratzeburger Str. 15           ;23843;BAD OLDESLOE

21809;8;plaza Ludwigslust             ;Käthe-Kollwitz-Str.2          ;19288;LUDWIGSLUST

21809;9;plaza Geesthacht              ;Norderstr./Ecke Berlinerstr.  ;21502;GEESTHACHT

21809;10;                              ;                              ;            ;

21809;11;co op Schleswig-Holstein eG   ;Benzstr. 10                   ;24148;KIEL

21809;13;co op Schleswig-Holstein eG   ;Benzstr. 10                   ;24148;KIEL-WELLINGDORF

21809;14;co op Schleswig-Holstein eG   ;Heuweg 7-9                    ;89079;ULM

21809;15;plaza Itzehoe                 ;Rudolf-Diesel-Str. 1          ;25524;ITZEHOE

21809;134;Sky 134                       ;An der Rentereiche            ;17153;STAVENHAGEN

21809;140;Sky 140                       ;Triebseestrasse               ;18507;GRIMMEN

21809;303;Sky 303                       ;Rostocker Chaussee            ;18273;GÜSTROW

21809;307;Sky 307                       ;Straußstr. 12                 ;17034;NEUBRANDENBURG

21809;614;Wandmaker                     ;Kieler Str. 52                ;24534;NEUMÜNSTER

21809;615;Wandmaker                     ;Tondernsche Str. 8            ;25821;BREDSTEDT

21809;616;Wandmaker                     ;Koogchaussee 30               ;25774;LUNDEN

21809;617;Wandmaker                     ;Am Markt 6                    ;25560;SCHENEFELD

21809;618;Wandmaker                     ;Süderstr. 10-12               ;25709;MARNE

21809;619;Wandmaker                     ;Kreishafenstr. 2              ;24768;RENDSBURG

21809;620;Wandmaker                     ;Adolf-Brütt-Str. 62           ;25813;HUSUM

21809;621;Wandmaker                     ;Hauptstraße 5                 ;25782;TELLINGSTEDT

21809;622;Wandmaker                     ;Markt 42-44                   ;25746;HEIDE

21809;623;Wandmaker                     ;Fockbecker Chaussee           ;24768;RENDSBURG

21809;624;Wandmaker                     ;Marienhofweg 33               ;25813;HUSUM

21809;625;Wandmaker                     ;Süderstraße 3                 ;25709;MARNE

21809;626;Wandmaker                     ;Heider Straße 33              ;25704;MELDORF

21809;627;Wandmaker                     ;Rudolf-Diesel-Straße 1        ;25524;ITZEHOE

21809;628;Wandmaker                     ;Dithmarscher Straße 1         ;25832;TÖNNING

21809;629;Wandmaker                     ;Bahnhofstraße 4               ;25557;HANERAU-HADEMARSCHEN

21809;630;Wandmaker                     ;Bornhöveder Landstraße 2      ;24601;WANKENDORF

21809;631;Wandmaker                     ;Tellingstedter Straße 22      ;25779;HENNSTEDT

21809;632;Wandmaker                     ;Emil-von-Behring-Straße 14    ;25541;BRUNSBÜTTEL

21809;633;Wandmaker                     ;Norderstraße 11a              ;25767;ALBERSDORF

21809;634;Wandmaker                     ;Am Busbahnhof 7               ;24784;WESTERRÖNFELD

21809;635;Wandmaker                     ;Industrieweg 13               ;25980;WESTERLAND

21809;638;Wandmaker                     ;Neue Burger Straße 21         ;25554;WILSTER

21809;639;Wandmaker                     ;Johannsenstraße 171           ;25693;ST.MICHAELISDONN

21809;641;Wandmaker                     ;Wasbeker Straße 53            ;24534;NEUMÜNSTER

21809;642;Wandmaker                     ;Kiarwai 2                     ;25980;TINNUM/SYLT

21809;643;Wandmaker                     ;Witzworter Straße             ;25840;FRIEDRICHSTADT

21809;644;Wandmaker                     ;Grüner Weg 9-11               ;24539;NEUMÜNSTER

21809;645;Wandmaker                     ;Kakabellenweg 11-13           ;24340;ECKERFÖRDE

21809;646;Wandmaker                     ;Breite Straße 18a             ;25551;HOHENLOCKSTEDT

21809;647;Wandmaker                     ;Itzehoher Straße 36           ;24594;HOHENWESTEDT

21809;648;Wandmaker                     ;Emil-von-Behring-Straße 14    ;25541;BRUNSBÜTTEL

21809;649;Wandmaker                     ;Heider Straße 24              ;25761;BÜSUM

21809;650;Wandmaker                     ;Bahnhofstraße 114             ;25712;BURG

21809;652;Wandmaker                     ;Theodor-Strom-Allee 8         ;24848;KROPP

21809;653;Wandmaker                     ;Sauersgang 1                  ;24340;ECKERNFÖRDE

21809;654;Wandmaker                     ;Neuenbroker Straße            ;25361;KREMPE

21809;655;Wandmaker                     ;Ovendorfer Straße 42          ;25548;KELLINGHUSEN

21809;656;Wandmaker                     ;Koogstraße 67                 ;25718;FRIEDRICHSKOOG

21809;657;Wandmaker                     ;Schülper Chaussee 1           ;25764;WESSELBUREN

21809;658;Wandmaker                     ;Mühlenstraße 12               ;24582;BORDESHOLM

21809;659;Wandmaker                     ;Zum Stellwerk 1               ;25899;NIEBÜLL

21809;672;Wandmaker                     ;Sietwender Straße 46          ;21706;DROCHTERSEN

21809;673;Wandmaker                     ;Bahnhofstraße 9               ;27637;NORDHOLZ

21809;674;Wandmaker                     ;Marktstraße                   ;21709;HIMMELPFORTEN

21819;1;Handelshof                    ;Wiebelsheidestr. 51           ;59757;ARNSBERG

21819;2;                              ;                              ;            ;

21826;1;AMS GmbH & Co.KG              ;Lise-Meitner-Str. 2           ;40721;HILDEN

21863;1;Paperland   F01               ;Siemensring                   ;53925;KALL

21863;5;Paperland   F05               ;Spiegelstraße 15              ;53879;EUSKIRCHEN

21863;6;Paperland   F06               ;Rochusstrasse 220             ;53123;BONN-DUISDORF

21863;7;Paperland   F07               ;Koblenzer Str. 103            ;55469;SIMMERN

21863;8;Paperland   F08               ;Buchmühlenstr. 2-12           ;51465;BERGISCH GLADBACH

21863;9;Paperland   F09               ;Kölner Str. 86                ;41539;DORMAGEN

21863;10;Paperland   F10               ;Bahnhofstraße 86              ;63695;GLAUBURG-STOCKHEIM

21863;11;Paperland   F11               ;Umgehungsstraße 33            ;36341;LAUTERBACH

21863;13;Paperland   F13               ;Walbergraben 18               ;35614;AßLAR

21863;14;Paperland   F14               ;Industriestraße 2             ;56355;NASTÄTTEN

21863;15;Paperland   F15               ;Kirchhellener Str. 9          ;46236;BOTTROP

21863;17;Paperland   F17               ;Raiffeisenstraße 17           ;54568;GEROLSTEIN

21863;18;Paperland   F18               ;Schenkelstraße 9a             ;52349;DÜREN 2

21863;19;Paperland   F19               ;Adalbertstraße 35             ;52062;AACHEN

21863;21;Paperland   F21               ;Robert- Koch- Str. 3          ;52152;SIMMERRATH

21863;22;MAJA Handelsgesellschaft      ;Am Markt 39                   ;53937;SCHLEIDEN

21897;1;eCom Logistik GmbH & Co.KG    ;Straße der Einheit 142-148    ;14612;FALKENSEE

21928;3;Deutsche Woolworth            ;Bahnhofstr. 16                ;59929;BRILON

21928;52;Deutsche Woolworth            ;Zeil 94                       ;60313;FRANKFURT/MAIN

21928;73;Deutsche Woolworth            ;Bahnhofstr. 14-16             ;94032;PASSAU

